,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L485,__iter__,api.TrainingStats.__iter__~Fn,L478,L103,/content/ludwig/ludwig/api.py,146,5,147,64,0,1,0,2,2,1,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L489,__contains__,api.TrainingStats.__contains__~Fn,L478,L103,/content/ludwig/ludwig/api.py,149,5,154,9,0,0,0,6,6,6,0,0,0,0,1,2,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,52.86060383799767,1.7307692307692308,152.30769230769232,0.0293333333333333,22,16,8.461538461538462,88.0
2,L492,__getitem__,api.TrainingStats.__getitem__~Fn,L478,L103,/content/ludwig/ludwig/api.py,156,5,158,91,0,1,0,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L501,__iter__,api.PreprocessedDataset.__iter__~Fn,L495,L103,/content/ludwig/ludwig/api.py,170,5,171,104,0,1,0,2,2,1,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L505,__getitem__,api.PreprocessedDataset.__getitem__~Fn,L495,L103,/content/ludwig/ludwig/api.py,173,5,174,105,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L513,__iter__,api.TrainingResults.__iter__~Fn,L508,L103,/content/ludwig/ludwig/api.py,184,5,189,86,0,4,4,2,6,1,0,0,0,0,1,1,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L518,__getitem__,api.TrainingResults.__getitem__~Fn,L508,L103,/content/ludwig/ludwig/api.py,191,5,196,87,0,4,4,2,6,1,0,0,0,0,1,2,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L525,__init__,api.LudwigModel.__init__~Fn,L522,L103,/content/ludwig/ludwig/api.py,269,5,333,35,0,33,24,27,65,4,0,0,0,1,14,8,0,33,27,65,14,0,0,1,0,0,1,0,0,0,1,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
8,L539,train,api.LudwigModel.train~Fn,L522,L103,/content/ludwig/ludwig/api.py,335,5,758,82,0,124,91,261,418,58,0,0,0,6,121,19,0,126,266,424,123,0,0,8,0,0,2,1,0,0,6,310.722134501717,6.57,4290.035096608111,0.2176577928263881,111,59,238.33528314489504,652.9733784791645
9,L590,train_online,api.LudwigModel.train_online~Fn,L522,L103,/content/ludwig/ludwig/api.py,760,5,830,72,0,33,29,34,71,5,0,0,0,2,15,5,0,33,34,71,15,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.6666666666666667,34.82892142331043,0.006965784284662,9,5,1.9349400790728015,20.89735285398626
10,L576,_tune_batch_size,api.LudwigModel._tune_batch_size~Fn,L522,L103,/content/ludwig/ludwig/api.py,832,5,892,97,0,21,11,33,61,6,0,0,0,0,20,4,0,21,33,61,20,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
11,L602,predict,api.LudwigModel.predict~Fn,L522,L103,/content/ludwig/ludwig/api.py,894,5,995,67,0,45,38,55,102,8,0,0,0,1,19,12,0,45,55,102,19,0,0,2,0,0,1,0,0,0,2,32.0,2.75,177.45564378569725,0.0215097750043269,18,12,9.85864687698318,64.52932501298082
12,L618,evaluate,api.LudwigModel.evaluate~Fn,L522,L103,/content/ludwig/ludwig/api.py,997,5,1149,69,0,56,45,87,153,22,0,0,0,1,36,13,0,56,87,153,36,0,0,4,0,0,2,1,0,0,3,96.22039775975506,3.947368421052632,714.9094397416352,0.0603701304670714,39,25,39.71719109675751,181.11039140121423
13,L633,forecast,api.LudwigModel.forecast~Fn,L522,L103,/content/ludwig/ludwig/api.py,1151,5,1216,25,0,11,0,47,66,10,0,0,0,1,34,6,0,11,47,66,34,0,0,1,0,0,1,0,0,0,1,58.52932501298082,4.5,525.4105501817313,0.0389193000134615,28,18,29.189475010096185,116.75790004038474
14,L641,experiment,api.LudwigModel.experiment~Fn,L522,L103,/content/ludwig/ludwig/api.py,1218,5,1409,75,0,101,98,87,192,7,0,0,0,2,23,25,0,101,87,192,23,0,0,4,0,0,2,0,0,0,4,28.75488750216347,1.875,103.78294855911894,0.0184503019660655,16,11,5.765719364395497,55.35090589819677
15,L670,collect_weights,api.LudwigModel.collect_weights~Fn,L522,L103,/content/ludwig/ludwig/api.py,1411,5,1423,32,0,11,9,4,13,1,0,0,0,1,3,3,0,11,4,13,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L675,collect_activations,api.LudwigModel.collect_activations~Fn,L522,L103,/content/ludwig/ludwig/api.py,1425,5,1478,30,0,28,24,26,54,1,0,0,0,1,7,7,0,28,26,54,7,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L578,preprocess,api.LudwigModel.preprocess~Fn,L522,L103,/content/ludwig/ludwig/api.py,1480,5,1569,120,0,48,44,40,90,4,0,0,0,0,13,10,0,48,40,90,13,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L695,load,api.LudwigModel.load~Fn,L522,L103,/content/ludwig/ludwig/api.py,1571,5,1661,27,0,49,34,37,91,4,0,0,0,3,15,7,0,49,37,91,15,0,0,1,0,0,1,0,0,0,1,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
19,L704,load_weights,api.LudwigModel.load_weights~Fn,L522,L103,/content/ludwig/ludwig/api.py,1663,5,1685,43,0,18,15,7,23,2,0,0,0,0,3,2,0,18,7,23,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L709,save,api.LudwigModel.save~Fn,L522,L103,/content/ludwig/ludwig/api.py,1687,5,1717,73,0,25,19,6,31,1,0,0,0,0,5,2,0,25,6,31,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L713,upload_to_hf_hub,api.LudwigModel.upload_to_hf_hub~Fn,L522,L103,/content/ludwig/ludwig/api.py,1719,5,1766,28,0,29,27,21,48,1,0,0,0,0,5,6,0,29,21,48,5,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L580,save_config,api.LudwigModel.save_config~Fn,L522,L103,/content/ludwig/ludwig/api.py,1768,5,1781,72,0,12,10,4,14,1,0,0,0,0,3,2,0,12,4,14,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L724,to_torchscript,api.LudwigModel.to_torchscript~Fn,L522,L103,/content/ludwig/ludwig/api.py,1783,5,1811,53,0,15,13,15,29,3,0,0,0,0,7,3,0,15,15,29,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
24,L729,save_torchscript,api.LudwigModel.save_torchscript~Fn,L522,L103,/content/ludwig/ludwig/api.py,1813,5,1843,9,0,16,14,16,31,2,0,0,0,0,3,4,0,16,16,31,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
25,L616,_check_initialization,api.LudwigModel._check_initialization~Fn,L522,L103,/content/ludwig/ludwig/api.py,1845,5,1847,68,0,0,0,3,3,4,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,21.651484454403228,1.2857142857142858,52.98303216696437,0.0137363416729166,13,9,2.943501787053576,41.20902501875006
26,L736,free_gpu_memory,api.LudwigModel.free_gpu_memory~Fn,L522,L103,/content/ludwig/ludwig/api.py,1849,5,1856,36,0,4,4,4,8,2,0,0,0,0,3,1,0,4,4,8,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L582,create_model,api.LudwigModel.create_model~Fn,L522,L103,/content/ludwig/ludwig/api.py,1858,5,1874,62,0,13,11,6,17,2,0,0,0,0,4,2,0,13,6,17,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
28,L537,set_logging_level,api.LudwigModel.set_logging_level~Fn,L522,L103,/content/ludwig/ludwig/api.py,1876,5,1893,42,0,13,11,7,18,2,0,0,0,0,4,1,0,13,7,18,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
29,L744,config,api.LudwigModel.config~Fn,L522,L103,/content/ludwig/ludwig/api.py,1895,5,1898,40,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L747,config,api.LudwigModel.config~Fn,L522,L103,/content/ludwig/ludwig/api.py,1900,5,1907,66,0,4,4,4,8,1,0,0,0,0,2,2,0,4,4,8,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
31,L584,is_merge_and_unload_set,api.LudwigModel.is_merge_and_unload_set~Fn,L522,L103,/content/ludwig/ludwig/api.py,1909,5,1917,95,0,8,6,2,9,2,0,0,0,0,1,1,0,8,2,9,1,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
32,L910,__init__,automl.AutoTrainResults.__init__~Fn,L908,L103,/content/ludwig/ludwig/automl/automl.py,80,5,82,27,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
33,L916,experiment_analysis,automl.AutoTrainResults.experiment_analysis~Fn,L908,L103,/content/ludwig/ludwig/automl/automl.py,84,5,86,40,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
34,L918,best_trial_id,automl.AutoTrainResults.best_trial_id~Fn,L908,L103,/content/ludwig/ludwig/automl/automl.py,88,5,90,60,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
35,L920,best_model,automl.AutoTrainResults.best_model~Fn,L908,L103,/content/ludwig/ludwig/automl/automl.py,92,5,107,73,0,2,0,13,16,3,0,0,0,0,10,1,0,2,13,16,10,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
36,L1099,__init__,_ray210_compat.TunerRay210.__init__~Fn,L1096,L103,/content/ludwig/ludwig/backend/_ray210_compat.py,26,5,63,17,0,5,1,33,38,4,0,0,0,0,11,7,0,5,33,38,11,0,0,1,0,0,1,0,0,0,1,0.0,1.0,4.0,0.0013333333333333,4,2,0.2222222222222222,4.0
37,L1113,restore,_ray210_compat.TunerRay210.restore~Fn,L1096,L103,/content/ludwig/ludwig/backend/_ray210_compat.py,65,5,117,62,0,31,31,21,53,2,0,0,0,0,6,5,0,31,21,53,6,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
38,L1122,_expected_utilization,_ray210_compat.TunerInternalRay210._expected_utilization~Fn,L1101,L103,/content/ludwig/ludwig/backend/_ray210_compat.py,127,5,142,75,0,2,0,15,16,5,0,0,0,0,8,3,0,2,15,16,8,0,0,0,0,0,0,0,0,0,0,53.563522809337215,3.8181818181818175,327.74020236207275,0.0286122398887523,21,17,18.207789020115158,85.83671966625714
39,L1131,__init__,base.Backend.__init__~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,59,5,68,76,0,0,0,10,10,2,0,0,0,0,4,4,0,0,10,10,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
40,L1138,storage,base.Backend.storage~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,70,5,72,36,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
41,L1140,cache,base.Backend.cache~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,74,5,76,34,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
42,L1142,dataset_manager,base.Backend.dataset_manager~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,78,5,80,36,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
43,L1144,initialize,base.Backend.initialize~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,82,5,84,35,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
44,L1146,initialize_pytorch,base.Backend.initialize_pytorch~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,86,5,88,35,0,0,0,3,3,1,0,0,0,0,1,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
45,L1150,create_trainer,base.Backend.create_trainer~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,90,5,93,35,0,0,0,4,4,1,0,0,0,0,1,4,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
46,L1155,sync_model,base.Backend.sync_model~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,95,5,97,35,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
47,L1158,broadcast_return,base.Backend.broadcast_return~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,99,5,101,35,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
48,L1161,is_coordinator,base.Backend.is_coordinator~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,103,5,105,35,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
49,L1163,df_engine,base.Backend.df_engine~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,107,5,110,35,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
50,L1165,supports_multiprocessing,base.Backend.supports_multiprocessing~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,112,5,115,35,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
51,L1167,read_binary_files,base.Backend.read_binary_files~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,117,5,119,35,0,0,0,3,3,1,0,0,0,0,1,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,20.264662506490406,3.0,171.17595007788486,0.0190195500086538,18,9,9.509775004326936,57.058650025961626
52,L1171,num_nodes,base.Backend.num_nodes~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,121,5,124,35,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
53,L1173,num_training_workers,base.Backend.num_training_workers~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,126,5,129,35,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
54,L1175,get_available_resources,base.Backend.get_available_resources~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,131,5,133,35,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
55,L1177,max_concurrent_trials,base.Backend.max_concurrent_trials~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,135,5,137,35,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
56,L1180,tune_batch_size,base.Backend.tune_batch_size~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,139,5,146,35,0,5,5,3,8,1,0,0,0,0,1,3,0,5,3,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
57,L1185,batch_transform,base.Backend.batch_transform~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,148,5,153,35,0,1,1,5,6,1,0,0,0,0,1,5,0,1,5,6,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
58,L1192,supports_batch_size_tuning,base.Backend.supports_batch_size_tuning~Fn,L1129,L103,/content/ludwig/ludwig/backend/base.py,155,5,156,19,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
59,L1196,df_engine,base.LocalPreprocessingMixin.df_engine~Fn,L1194,L103,/content/ludwig/ludwig/backend/base.py,160,5,162,21,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
60,L1200,supports_multiprocessing,base.LocalPreprocessingMixin.supports_multiprocessing~Fn,L1194,L103,/content/ludwig/ludwig/backend/base.py,164,5,166,19,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
61,L1202,read_binary_files,base.LocalPreprocessingMixin.read_binary_files~Fn,L1194,L103,/content/ludwig/ludwig/backend/base.py,168,5,190,70,0,5,0,19,23,7,0,0,0,0,11,3,0,5,19,23,11,0,0,0,0,0,0,0,0,0,0,20.264662506490406,3.0,171.17595007788486,0.0190195500086538,18,9,9.509775004326936,57.058650025961626
62,L1206,batch_transform,base.LocalPreprocessingMixin.batch_transform~Fn,L1194,L103,/content/ludwig/ludwig/backend/base.py,192,5,199,21,0,0,0,8,8,2,0,0,0,0,6,4,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
63,L1213,initialize,base.LocalTrainingMixin.initialize~Fn,L1211,L103,/content/ludwig/ludwig/backend/base.py,203,5,205,35,0,0,0,3,3,1,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
64,L1214,initialize_pytorch,base.LocalTrainingMixin.initialize_pytorch~Fn,L1211,L103,/content/ludwig/ludwig/backend/base.py,207,5,209,43,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
65,L1217,create_predictor,base.LocalTrainingMixin.create_predictor~Fn,L1211,L103,/content/ludwig/ludwig/backend/base.py,211,5,215,63,0,1,0,4,5,1,0,0,0,0,2,2,0,1,4,5,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
66,L1220,sync_model,base.LocalTrainingMixin.sync_model~Fn,L1211,L103,/content/ludwig/ludwig/backend/base.py,217,5,218,12,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
67,L1225,broadcast_return,base.LocalTrainingMixin.broadcast_return~Fn,L1211,L103,/content/ludwig/ludwig/backend/base.py,220,5,222,19,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
68,L1227,is_coordinator,base.LocalTrainingMixin.is_coordinator~Fn,L1211,L103,/content/ludwig/ludwig/backend/base.py,224,5,226,19,0,0,0,3,3,1,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
69,L1228,tune_batch_size,base.LocalTrainingMixin.tune_batch_size~Fn,L1211,L103,/content/ludwig/ludwig/backend/base.py,228,5,231,60,0,0,0,4,4,1,0,0,0,0,2,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
70,L1233,sync_model,base.RemoteTrainingMixin.sync_model~Fn,L1231,L103,/content/ludwig/ludwig/backend/base.py,235,5,236,12,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
71,L1238,broadcast_return,base.RemoteTrainingMixin.broadcast_return~Fn,L1231,L103,/content/ludwig/ludwig/backend/base.py,238,5,240,19,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
72,L1240,is_coordinator,base.RemoteTrainingMixin.is_coordinator~Fn,L1231,L103,/content/ludwig/ludwig/backend/base.py,242,5,244,19,0,0,0,3,3,1,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
73,L1245,shared_instance,base.LocalBackend.shared_instance~Fn,L1241,L103,/content/ludwig/ludwig/backend/base.py,253,5,258,35,0,1,1,5,6,2,0,0,0,0,3,1,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
74,L1248,__init__,base.LocalBackend.__init__~Fn,L1241,L103,/content/ludwig/ludwig/backend/base.py,260,5,261,78,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
75,L1253,num_nodes,base.LocalBackend.num_nodes~Fn,L1241,L103,/content/ludwig/ludwig/backend/base.py,263,5,265,16,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
76,L1255,num_training_workers,base.LocalBackend.num_training_workers~Fn,L1241,L103,/content/ludwig/ludwig/backend/base.py,267,5,269,16,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
77,L1257,get_available_resources,base.LocalBackend.get_available_resources~Fn,L1241,L103,/content/ludwig/ludwig/backend/base.py,271,5,272,81,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
78,L1259,max_concurrent_trials,base.LocalBackend.max_concurrent_trials~Fn,L1241,L103,/content/ludwig/ludwig/backend/base.py,274,5,277,19,0,2,0,2,4,1,0,0,0,0,1,2,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
79,L1262,create_trainer,base.LocalBackend.create_trainer~Fn,L1241,L103,/content/ludwig/ludwig/backend/base.py,279,5,293,64,0,1,0,13,15,2,0,0,0,0,6,4,0,1,13,15,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
80,L1270,__init__,base.DataParallelBackend.__init__~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,300,5,302,60,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
81,L1275,initialize,base.DataParallelBackend.initialize~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,304,5,306,12,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
82,L1277,initialize_pytorch,base.DataParallelBackend.initialize_pytorch~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,308,5,311,9,0,0,0,4,4,1,0,0,0,0,1,3,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
83,L1281,create_trainer,base.DataParallelBackend.create_trainer~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,313,5,321,63,0,1,0,8,9,1,0,0,0,0,2,4,0,1,8,9,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
84,L1286,create_predictor,base.DataParallelBackend.create_predictor~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,323,5,326,94,0,1,0,3,4,1,0,0,0,0,2,3,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
85,L1290,sync_model,base.DataParallelBackend.sync_model~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,328,5,331,43,0,2,0,2,4,1,0,0,0,0,1,2,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
86,L1293,broadcast_return,base.DataParallelBackend.broadcast_return~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,333,5,343,21,0,5,5,6,11,3,0,0,0,1,5,2,0,5,6,11,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
87,L1297,is_coordinator,base.DataParallelBackend.is_coordinator~Fn,L1267,L103,/content/ludwig/ludwig/backend/base.py,345,5,346,44,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
