,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L221,__init__,core.ServiceException.__init__~Fn,L214,L103,/content/localstack/localstack/aws/api/core.py,34,5,42,37,0,0,0,8,9,3,0,0,0,0,6,3,0,0,8,9,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L230,__init__,core.CommonServiceException.__init__~Fn,L227,L103,/content/localstack/localstack/aws/api/core.py,53,5,57,40,0,0,0,5,5,1,0,0,0,0,4,5,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L258,__init__,core.RequestContext.__init__~Fn,L245,L103,/content/localstack/localstack/aws/api/core.py,99,5,109,43,0,0,0,11,11,1,0,0,0,0,10,1,0,0,11,11,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L262,is_internal_call,core.RequestContext.is_internal_call~Fn,L245,L103,/content/localstack/localstack/aws/api/core.py,111,5,116,55,0,3,3,3,6,1,0,0,0,0,1,1,0,3,3,6,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L265,service_operation,core.RequestContext.service_operation~Fn,L245,L103,/content/localstack/localstack/aws/api/core.py,118,5,128,79,0,6,6,5,11,3,0,0,0,0,3,1,0,6,5,11,3,0,0,0,0,0,0,0,0,0,0,10.0,1.0,18.09473750504809,0.0060315791683493,7,6,1.0052631947248942,18.09473750504809
5,L270,__repr__,core.RequestContext.__repr__~Fn,L245,L103,/content/localstack/localstack/aws/api/core.py,130,5,131,122,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L275,__call__,core.ServiceRequestHandler.__call__~Fn,L272,L103,/content/localstack/localstack/aws/api/core.py,139,5,149,33,0,7,7,4,11,1,0,0,0,0,1,3,0,7,4,11,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L421,__init__,app.LocalstackAwsGateway.__init__~Fn,L419,L103,/content/localstack/localstack/aws/app.py,16,5,77,9,0,12,0,51,62,2,0,0,0,0,8,2,0,12,51,62,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L426,new_chain,app.LocalstackAwsGateway.new_chain~Fn,L419,L103,/content/localstack/localstack/aws/app.py,79,5,84,34,0,0,0,6,6,2,0,0,0,0,3,1,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L451,__init__,chain.HandlerChain.__init__~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,60,5,75,27,0,0,0,15,16,4,0,0,0,0,9,4,0,0,15,16,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L458,handle,chain.HandlerChain.handle~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,77,5,110,46,0,11,7,19,34,8,0,0,0,2,17,3,0,11,19,34,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L467,respond,chain.HandlerChain.respond~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,112,5,128,19,0,6,6,11,17,5,0,0,0,1,9,3,0,6,11,17,9,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
12,L472,stop,chain.HandlerChain.stop~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,130,5,134,27,0,3,3,2,5,1,0,0,0,0,1,1,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L476,terminate,chain.HandlerChain.terminate~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,136,5,140,30,0,3,3,2,5,1,0,0,0,0,1,1,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L479,throw,chain.HandlerChain.throw~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,142,5,147,26,0,4,4,2,6,1,0,0,0,0,1,2,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L463,_call_response_handlers,chain.HandlerChain._call_response_handlers~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,149,5,161,48,0,0,0,12,13,5,0,0,0,0,9,2,0,0,12,13,9,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
16,L465,_call_exception_handlers,chain.HandlerChain._call_exception_handlers~Fn,L438,L103,/content/localstack/localstack/aws/chain.py,163,5,173,53,0,1,0,10,11,4,0,0,0,0,7,3,0,1,10,11,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L492,__init__,chain.CompositeHandler.__init__~Fn,L488,L103,/content/localstack/localstack/aws/chain.py,183,5,193,44,0,7,7,4,11,1,0,0,0,0,3,2,0,7,4,11,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L498,append,chain.CompositeHandler.append~Fn,L488,L103,/content/localstack/localstack/aws/chain.py,195,5,201,37,0,5,5,2,7,1,0,0,0,0,1,2,0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L502,remove,chain.CompositeHandler.remove~Fn,L488,L103,/content/localstack/localstack/aws/chain.py,203,5,208,37,0,4,4,2,6,1,0,0,0,0,1,2,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L506,__call__,chain.CompositeHandler.__call__~Fn,L488,L103,/content/localstack/localstack/aws/chain.py,210,5,217,22,0,0,0,7,8,5,0,0,0,0,6,4,0,0,7,8,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
21,L514,__init__,chain.CompositeResponseHandler.__init__~Fn,L511,L103,/content/localstack/localstack/aws/chain.py,227,5,228,46,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L526,__init__,client._ResponseStream.__init__~Fn,L523,L103,/content/localstack/localstack/aws/client.py,26,5,29,24,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L531,readable,client._ResponseStream.readable~Fn,L523,L103,/content/localstack/localstack/aws/client.py,31,5,32,19,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L533,readinto,client._ResponseStream.readinto~Fn,L523,L103,/content/localstack/localstack/aws/client.py,34,5,43,20,0,3,0,9,10,3,0,0,0,0,7,2,0,3,9,10,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
25,L536,close,client._ResponseStream.close~Fn,L523,L103,/content/localstack/localstack/aws/client.py,45,5,46,36,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L538,__iter__,client._ResponseStream.__iter__~Fn,L523,L103,/content/localstack/localstack/aws/client.py,48,5,49,28,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L540,__next__,client._ResponseStream.__next__~Fn,L523,L103,/content/localstack/localstack/aws/client.py,51,5,52,34,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
28,L542,__str__,client._ResponseStream.__str__~Fn,L523,L103,/content/localstack/localstack/aws/client.py,54,5,59,41,0,0,0,5,6,2,0,0,0,0,4,1,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
29,L544,__repr__,client._ResponseStream.__repr__~Fn,L523,L103,/content/localstack/localstack/aws/client.py,61,5,62,29,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L550,__init__,client._RawStream.__init__~Fn,L547,L103,/content/localstack/localstack/aws/client.py,68,5,70,47,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
31,L555,stream,client._RawStream.stream~Fn,L547,L103,/content/localstack/localstack/aws/client.py,72,5,73,28,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
32,L557,close,client._RawStream.close~Fn,L547,L103,/content/localstack/localstack/aws/client.py,75,5,76,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
33,L626,__init__,connect.MetadataRequestInjector.__init__~Fn,L624,L103,/content/localstack/localstack/aws/connect.py,148,5,150,29,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
34,L632,__getattr__,connect.MetadataRequestInjector.__getattr__~Fn,L624,L103,/content/localstack/localstack/aws/connect.py,152,5,159,25,0,0,0,8,8,3,0,0,0,0,6,2,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
35,L635,request_metadata,connect.MetadataRequestInjector.request_metadata~Fn,L624,L103,/content/localstack/localstack/aws/connect.py,161,5,184,74,0,13,13,11,24,4,0,0,0,0,8,3,0,13,11,24,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
36,L643,__init__,connect.ServiceLevelClientFactory.__init__~Fn,L640,L103,/content/localstack/localstack/aws/connect.py,196,5,200,61,0,0,0,5,5,1,0,0,0,0,2,3,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
37,L649,get_client,connect.ServiceLevelClientFactory.get_client~Fn,L640,L103,/content/localstack/localstack/aws/connect.py,202,5,205,9,0,0,0,4,4,1,0,0,0,0,1,2,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
38,L652,__getattr__,connect.ServiceLevelClientFactory.__getattr__~Fn,L640,L103,/content/localstack/localstack/aws/connect.py,207,5,211,9,0,0,0,5,5,1,0,0,0,1,2,2,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
39,L659,__init__,connect.ClientFactory.__init__~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,222,5,243,52,0,10,10,12,22,3,0,0,0,0,5,5,0,10,12,22,5,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
40,L668,__call__,connect.ClientFactory.__call__~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,245,5,279,85,0,16,16,19,35,1,0,0,0,0,2,7,0,16,19,35,2,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
41,L677,with_assumed_role,connect.ClientFactory.with_assumed_role~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,281,5,323,9,0,13,13,27,43,3,0,0,0,0,8,7,0,13,27,43,8,0,0,1,0,0,1,0,0,0,1,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
42,L686,get_client,connect.ClientFactory.get_client~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,325,5,336,35,0,0,0,12,12,1,0,0,0,0,1,8,0,0,12,12,1,0,0,1,0,0,1,0,0,0,1,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
43,L695,_get_client_post_hook,connect.ClientFactory._get_client_post_hook~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,338,5,345,21,0,6,6,2,8,1,0,0,0,0,1,2,0,6,2,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
44,L699,_get_client,connect.ClientFactory._get_client~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,350,5,402,49,0,23,20,31,53,2,0,0,0,1,4,10,0,23,31,53,4,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
45,L712,_get_session_region,connect.ClientFactory._get_session_region~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,407,5,411,40,0,6,3,2,5,1,0,0,0,0,1,1,0,6,2,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
46,L715,_get_region,connect.ClientFactory._get_region~Fn,L656,L103,/content/localstack/localstack/aws/connect.py,413,5,424,9,0,6,6,6,12,3,0,0,0,1,1,1,0,6,6,12,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.5,4.0,0.0026666666666666,4,4,0.2222222222222222,8.0
47,L721,_get_client_post_hook,connect.InternalClientFactory._get_client_post_hook~Fn,L719,L103,/content/localstack/localstack/aws/connect.py,428,5,438,21,0,4,4,6,11,1,0,0,0,0,3,2,0,4,6,11,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
48,L727,get_client,connect.InternalClientFactory.get_client~Fn,L719,L103,/content/localstack/localstack/aws/connect.py,440,5,491,9,0,20,20,29,52,8,0,0,0,2,8,8,0,20,29,52,8,0,0,1,0,0,1,0,0,0,1,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
49,L741,get_client,connect.ExternalClientFactory.get_client~Fn,L739,L103,/content/localstack/localstack/aws/connect.py,495,5,560,9,0,28,22,34,66,12,0,0,0,2,13,8,0,28,34,66,13,0,0,2,0,0,2,1,0,0,1,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
50,L755,get_client,connect.ExternalAwsClientFactory.get_client~Fn,L753,L103,/content/localstack/localstack/aws/connect.py,564,5,611,9,0,22,22,25,48,3,0,0,0,2,4,8,0,22,25,48,4,0,0,1,0,0,1,0,0,0,1,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
51,L841,__init__,gateway.Gateway.__init__~Fn,L835,L103,/content/localstack/localstack/aws/gateway.py,22,5,26,40,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
52,L845,new_chain,gateway.Gateway.new_chain~Fn,L835,L103,/content/localstack/localstack/aws/gateway.py,28,5,29,99,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
53,L847,process,gateway.Gateway.process~Fn,L835,L103,/content/localstack/localstack/aws/gateway.py,31,5,37,39,0,0,0,5,7,1,0,0,0,1,4,3,0,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
54,L852,accept,gateway.Gateway.accept~Fn,L835,L103,/content/localstack/localstack/aws/gateway.py,39,5,49,36,0,1,0,9,11,4,0,0,0,1,8,2,0,1,9,11,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
55,L867,__init__,analytics.ServiceRequestCounter.__init__~Fn,L864,L103,/content/localstack/localstack/aws/handlers/analytics.py,22,5,25,29,0,0,0,4,4,2,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
56,L872,__call__,analytics.ServiceRequestCounter.__call__~Fn,L864,L103,/content/localstack/localstack/aws/handlers/analytics.py,27,5,54,9,0,2,0,23,28,8,0,0,0,1,15,4,0,2,23,28,15,0,0,0,0,0,0,0,0,0,0,32.0,2.5,143.39850002884626,0.0191198000038461,16,12,7.966583334935903,57.3594000115385
57,L877,_get_err_type,analytics.ServiceRequestCounter._get_err_type~Fn,L864,L103,/content/localstack/localstack/aws/handlers/analytics.py,56,5,70,23,0,4,4,10,15,4,0,0,0,0,8,3,0,4,10,15,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
58,L889,__call__,auth.MissingAuthHeaderInjector.__call__~Fn,L887,L103,/content/localstack/localstack/aws/handlers/auth.py,19,5,33,30,0,3,0,10,15,3,0,0,0,0,7,4,0,3,10,15,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
59,L899,__call__,auth.AccountIdEnricher.__call__~Fn,L896,L103,/content/localstack/localstack/aws/handlers/auth.py,41,5,56,76,0,4,0,9,16,2,0,0,0,0,5,4,0,4,9,16,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
60,L913,__call__,codec.ContentDecoder.__call__~Fn,L909,L103,/content/localstack/localstack/aws/handlers/codec.py,19,5,28,68,0,3,0,6,10,5,0,0,0,0,5,4,0,3,6,10,5,0,0,0,0,0,0,0,0,0,0,28.75488750216347,1.5,62.26976913547136,0.0138377264745491,12,11,3.4594316186372978,41.51317942364757
61,L949,__call__,cors.CorsEnforcer.__call__~Fn,L946,L103,/content/localstack/localstack/aws/handlers/cors.py,169,5,184,24,0,1,0,15,16,7,0,0,0,2,9,4,0,1,15,16,9,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
62,L957,is_cors_origin_allowed,cors.CorsEnforcer.is_cors_origin_allowed~Fn,L946,L103,/content/localstack/localstack/aws/handlers/cors.py,186,5,197,19,0,2,1,10,12,3,0,0,0,1,8,1,0,2,10,12,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
63,L961,_is_in_allowed_origins,cors.CorsEnforcer._is_in_allowed_origins~Fn,L946,L103,/content/localstack/localstack/aws/handlers/cors.py,199,5,217,20,0,3,1,14,19,9,0,0,0,0,8,2,0,3,14,19,8,0,0,0,0,0,0,0,0,0,0,70.2129994085646,2.6666666666666665,276.6033980727912,0.0345754247590989,24,20,15.3668554484884,103.72627427729672
64,L969,__call__,cors.CorsResponseEnricher.__call__~Fn,L966,L103,/content/localstack/localstack/aws/handlers/cors.py,225,5,238,72,0,3,0,9,14,5,0,0,0,2,8,4,0,3,9,14,8,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
65,L976,add_cors_headers,cors.CorsResponseEnricher.add_cors_headers~Fn,L966,L103,/content/localstack/localstack/aws/handlers/cors.py,240,5,260,64,0,0,0,21,21,9,0,0,0,0,12,2,0,0,21,21,12,0,0,0,0,0,0,0,0,0,0,70.2129994085646,3.1666666666666665,396.89706338048944,0.0417786382505778,29,20,22.04983685447164,125.33591475173353
66,L990,__call__,fallback.InternalFailureHandler.__call__~Fn,L987,L103,/content/localstack/localstack/aws/handlers/fallback.py,20,5,45,9,0,1,0,23,26,3,0,0,0,0,10,5,0,1,23,26,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
67,L1004,__init__,fallback.EmptyResponseHandler.__init__~Fn,L998,L103,/content/localstack/localstack/aws/handlers/fallback.py,57,5,60,43,0,0,0,4,4,3,0,0,0,0,3,4,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
68,L1011,__call__,fallback.EmptyResponseHandler.__call__~Fn,L998,L103,/content/localstack/localstack/aws/handlers/fallback.py,62,5,64,52,0,0,0,3,3,2,0,0,0,2,2,4,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
69,L1016,is_empty_response,fallback.EmptyResponseHandler.is_empty_response~Fn,L998,L103,/content/localstack/localstack/aws/handlers/fallback.py,66,5,67,74,0,0,0,2,2,2,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
70,L1018,populate_default_response,fallback.EmptyResponseHandler.populate_default_response~Fn,L998,L103,/content/localstack/localstack/aws/handlers/fallback.py,69,5,72,45,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
71,L1033,__init__,internal.LocalstackResourceHandler.__init__~Fn,L1029,L103,/content/localstack/localstack/aws/handlers/internal.py,24,5,27,57,0,0,0,3,4,2,0,0,0,0,2,2,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
72,L1038,__call__,internal.LocalstackResourceHandler.__call__~Fn,L1029,L103,/content/localstack/localstack/aws/handlers/internal.py,29,5,39,34,0,2,0,9,11,3,0,0,0,0,7,4,0,2,9,11,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
73,L1045,__call__,internal.RuntimeShutdownHandler.__call__~Fn,L1043,L103,/content/localstack/localstack/aws/handlers/internal.py,43,5,49,34,0,1,0,6,7,4,0,0,0,0,5,4,0,1,6,7,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
74,L1059,__call__,internal_requests.InternalRequestParamsEnricher.__call__~Fn,L1056,L103,/content/localstack/localstack/aws/handlers/internal_requests.py,18,5,26,49,0,0,0,8,9,3,0,0,0,0,6,4,0,0,8,9,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
75,L1086,__init__,legacy.EdgeRouterHandler.__init__~Fn,L1084,L103,/content/localstack/localstack/aws/handlers/legacy.py,65,5,68,51,0,0,0,3,4,1,0,0,0,0,2,2,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
76,L1094,__call__,legacy.GenericProxyHandler.__call__~Fn,L1091,L103,/content/localstack/localstack/aws/handlers/legacy.py,76,5,120,73,0,5,0,32,45,8,0,0,0,1,25,4,0,5,32,45,25,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
77,L1101,forward_request,legacy.GenericProxyHandler.forward_request~Fn,L1091,L103,/content/localstack/localstack/aws/handlers/legacy.py,122,5,125,33,0,0,0,4,4,1,0,0,0,0,1,6,0,0,4,4,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
78,L1112,forward_request,legacy.LegacyPluginHandler.forward_request~Fn,L1109,L103,/content/localstack/localstack/aws/handlers/legacy.py,133,5,152,9,0,1,0,17,20,2,0,0,0,0,5,6,0,1,17,20,5,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
79,L1125,forward_request,legacy._DummyProxyListener.forward_request~Fn,L1123,L103,/content/localstack/localstack/aws/handlers/legacy.py,160,5,161,30,0,0,0,2,2,1,0,0,0,0,1,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
80,L1136,__call__,legacy.DefaultListenerHandler.__call__~Fn,L1133,L103,/content/localstack/localstack/aws/handlers/legacy.py,169,5,178,18,0,2,0,7,10,3,0,0,0,0,5,4,0,2,7,10,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
81,L1143,forward_request,legacy.DefaultListenerHandler.forward_request~Fn,L1133,L103,/content/localstack/localstack/aws/handlers/legacy.py,180,5,194,9,0,0,0,14,15,1,0,0,0,0,2,6,0,0,14,15,2,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
82,L1158,__init__,logging.ExceptionLogger.__init__~Fn,L1155,L103,/content/localstack/localstack/aws/handlers/logging.py,22,5,23,35,0,0,0,2,2,2,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
83,L1163,__call__,logging.ExceptionLogger.__call__~Fn,L1155,L103,/content/localstack/localstack/aws/handlers/logging.py,25,5,39,75,0,2,0,13,15,3,0,0,0,0,5,5,0,2,13,15,5,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
84,L1171,__call__,logging.ResponseLogger.__call__~Fn,L1169,L103,/content/localstack/localstack/aws/handlers/logging.py,43,5,47,36,0,1,0,4,5,3,0,0,0,1,3,4,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
85,L1180,aws_logger,logging.ResponseLogger.aws_logger~Fn,L1169,L103,/content/localstack/localstack/aws/handlers/logging.py,49,5,53,9,0,0,0,5,5,1,0,0,0,1,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
86,L1184,http_logger,logging.ResponseLogger.http_logger~Fn,L1169,L103,/content/localstack/localstack/aws/handlers/logging.py,55,5,59,9,0,0,0,5,5,1,0,0,0,1,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
87,L1186,internal_aws_logger,logging.ResponseLogger.internal_aws_logger~Fn,L1169,L103,/content/localstack/localstack/aws/handlers/logging.py,61,5,65,9,0,0,0,5,5,1,0,0,0,1,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
